"id_estacao","ip_mikrotik","nome","longitude","latitude","codigo_estacao_interno","codigo_estacao_parceiro"
19,"10.192.10.19",PCD Apiúna,-49.462298,-27.099766,DCSC-00017,DCSC-00017
20,"10.192.10.20",PCD Botuvera,-49.120594,-27.186187,DCSC-00018,DCSC-00018
21,"10.192.10.21",PCD Brusque,-48.917223,-27.100678,DCSC-00019,DCSC-00019
22,"10.192.10.22",PCD Ibirama,-49.519951,-27.056997,DCSC-00020,DCSC-00020
23,"10.192.10.23",PCD José Boiteux,-49.63359,-26.954841,DCSC-00021,DCSC-00021
24,"10.192.10.24",PCD Rio do Oeste,-49.807535,-27.185071,DCSC-00022,DCSC-00022
25,"10.192.10.25",PCD Timbó,-49.270776,-26.837547,DCSC-00023,DCSC-00023
26,"10.192.10.26",PCD Vidal Ramos,-49.358129,-27.385478,DCSC-00024,DCSC-00024
27,"10.192.10.27",PCD Agrolândia,-49.83267,-27.412533,DCSC-00025,DCSC-00025
28,"10.192.10.28",PCD Botuverá,-49.073995,-27.199871,DCSC-00027,DCSC-00027
29,"10.192.10.29",PCD Doutor Pedrinho,-49.485042,-26.714234,DCSC-00028,DCSC-00028
30,"10.192.10.30",PCD Guabiruba,-48.977393,-27.086782,DCSC-00029,DCSC-00029
31,"10.192.10.31",PCD Ilhota,-48.824778,-26.894432,DCSC-00030,DCSC-00030
32,"10.192.10.32",PCD Laurentino,-49.731736,-27.222692,DCSC-00031,DCSC-00031
33,"10.192.10.33",PCD Lontras,-49.546317,-27.165716,DCSC-00032,DCSC-00032
34,"10.192.10.34",PCD Pouso Redondo,-49.941426,-27.2575,DCSC-00033,DCSC-00033
35,"10.192.10.35",PCD Timbó,-49.275219,-26.822939,DCSC-00034,DCSC-00034
36,"10.192.10.36",PCD Trombudo Central,-49.796768,-27.312158,DCSC-00035,DCSC-00035
37,"10.192.10.37",PCD Vitor Meireles,-49.839598,-26.880632,DCSC-00036,DCSC-00036
38,"10.192.10.38",PCD Dona Emma,-49.7291,-26.984385,DCSC-00037,DCSC-00037
39,"10.192.10.39",PCD Barragem Ituporanga,-49.553598,-27.503854,DCSC-00038,DCSC-00038
40,"10.192.10.40",PCD Ituporanga Ponte,-49.58248,-27.482246,DCSC-00039,DCSC-00039
41,"10.192.10.41",PCD Barragem Taió,-49.58248,-27.482246,DCSC-00040,DCSC-00040
42,"10.192.10.42",PCD Taió Ponte,-50.000273,-27.116349,DCSC-00041,DCSC-00041
44,"10.192.10.44",PCD Presidente Getúlio,-49.624281,-27.045497,DCSC-00043,DCSC-00043
